element,id,name,centroid,geometry
way,198265286,CQĐD VPCP Phía Nam,POINT (106.70410997008211 10.785649659715252),"POLYGON ((686347.2204737745 1192872.999909292, 686398.0865342551 1192826.2594048432, 686310.5448306481 1192732.222152043, 686302.1133024063 1192739.9074241465, 686294.6487680008 1192746.7795062717, 686279.210203293 1192730.2335943882, 686252.2763536675 1192755.0280790706, 686244.2402921539 1192762.4058329442, 686347.2204737745 1192872.999909292))"
way,208935405,Công viên Phần mềm Quang Trung,POINT (106.6284497188598 10.8548860330127),"POLYGON ((677514.6313726471 1200516.1956473212, 677621.479808299 1200673.6504574143, 678358.499846362 1200706.3456511986, 678373.1069625983 1200627.0248905516, 678387.0381401337 1200531.041947409, 678382.4829086064 1200399.8175654467, 678374.0311781447 1200291.7239234378, 678356.4912321484 1200190.0746274095, 678211.667104 1200110.5628165787, 678195.6024651293 1200104.8575207104, 678161.8742761163 1200102.0773763035, 678121.577548637 1200082.4155107127, 678074.1265920652 1200059.2642254815, 678072.4580815602 1200058.4367453083, 678048.6079651219 1200046.6502987454, 678044.7411234631 1200035.7119595641, 678043.0284427105 1200030.8800046074, 677993.935677837 1200008.01872371, 677988.2783836541 1200008.8180556078, 677968.9618435125 1200012.0994866304, 677950.1019899407 1200015.8590133172, 677935.6941527763 1200019.2884022323, 677922.0154027168 1200023.3743216584, 677910.3688912396 1200027.7476528923, 677900.0210967112 1200032.581453147, 677889.0732293243 1200039.215059502, 677879.169463597 1200046.8940273838, 677871.2320951119 1200054.9042956415, 677864.3093972286 1200063.3292645784, 677858.799013149 1200071.4188831265, 677852.5329984673 1200081.7720538992, 677825.5237048088 1200133.2181171626, 677833.8007026463 1200153.7038939854, 677836.0942830497 1200166.4589231894, 677835.8414248023 1200170.804711879, 677830.5544362908 1200186.1960683838, 677822.8979510905 1200196.8957707859, 677816.1459234944 1200204.082777017, 677805.8210043219 1200210.7860999783, 677790.7728255964 1200219.4773514755, 677784.1279397506 1200214.8070878442, 677705.4886780696 1200327.445536457, 677688.3194050066 1200350.4500268656, 677598.5449551833 1200421.017866434, 677525.6546139874 1200462.6398364997, 677514.6313726471 1200516.1956473212))"
way,220428998,Cty giao nhận kho vận Ngoại Thương,POINT (106.71348580636615 10.759750905799793),"POLYGON ((687331.6794723542 1189969.503890468, 687320.3509210147 1189949.3301908982, 687394.58093613 1189905.464148576, 687404.4079731223 1189932.0453649864, 687331.6794723542 1189969.503890468))"
way,220550020,Cty XNK Dịch vụ Cảng Sài Gòn,POINT (106.71977914065297 10.757603928396124),"POLYGON ((688078.0097643781 1189662.398207616, 688102.3390278533 1189718.4966746708, 688026.5305521454 1189745.1181015256, 688005.0748703412 1189693.4716211914, 688078.0097643781 1189662.398207616))"
way,221054401,Trung tâm Dịch Vụ Khác Hàng Phú Mỹ Hưng,POINT (106.7154768392465 10.728194430171934),"POLYGON ((687567.9343786668 1186467.3809770509, 687633.595162841 1186468.6762467425, 687634.3440883817 1186430.4949428304, 687568.694106505 1186429.2108058035, 687567.9343786668 1186467.3809770509))"
way,225638467,Sở Khoa học và Công nghệ TP.HCM,POINT (106.6871709693287 10.780369417823811),"POLYGON ((684438.5247203584 1192204.8729966152, 684479.0945488785 1192174.3891781713, 684507.7820424356 1192200.321043159, 684496.952794767 1192208.5244720115, 684493.73483361 1192210.9513796594, 684488.0768902707 1192215.544001143, 684482.5837322775 1192220.004790708, 684468.3392181731 1192232.7025888546, 684438.5247203584 1192204.8729966152))"
way,225638550,Sở Xây dựng TP.HCM,POINT (106.68456062280951 10.782268653165875),"POLYGON ((684162.6356156004 1192399.6221355526, 684175.0485197506 1192435.5303317676, 684210.3244346057 1192422.903914035, 684198.1895245726 1192388.15870799, 684162.6356156004 1192399.6221355526))"
way,225656679,Ban Quản lý khu Nam thành phố,POINT (106.72748463139204 10.730296303811908),"POLYGON ((688808.0352390588 1186713.5523321615, 688946.390847032 1186801.773543079, 688971.2341639377 1186766.6366427832, 688988.0901776882 1186673.3908826562, 688996.9755200543 1186624.2263303446, 688888.9311327538 1186584.8475715336, 688808.0352390588 1186713.5523321615))"
way,230397084,CoopMart Phú Lâm,POINT (106.63371815359409 10.754501849561274),"POLYGON ((678623.4096605062 1189361.2051832662, 678676.549590653 1189304.9421668956, 678684.2304771713 1189296.2445507578, 678686.6176773118 1189287.5076936584, 678683.9374892465 1189283.4781390107, 678681.9627032629 1189280.4921109786, 678676.7016169665 1189276.382450188, 678604.9246062194 1189293.4110874995, 678623.4096605062 1189361.2051832662))"
way,290247574,Lotte Department Store,POINT (106.70218485018057 10.741197348832461),"POLYGON ((686240.6116297656 1187964.1108705017, 686204.1579013539 1187763.8455801639, 686050.9778325809 1187794.4791098207, 686040.1444355156 1187803.1247535523, 686040.429765804 1187812.8385645032, 686054.7968899261 1187896.9654092097, 686072.8054361827 1187991.1565257332, 686240.6116297656 1187964.1108705017))"
way,302293123,Cục Quản lý Xuất Nhập Cảnh,POINT (106.68589209785634 10.761956607198872),"POLYGON ((684342.0530148791 1190201.7203463179, 684378.9629012209 1190178.7932208239, 684349.6497233948 1190129.0093363328, 684308.283570405 1190154.7548668454, 684342.0530148791 1190201.7203463179))"
